"RS1","RS2"
"rhamn.0",1.87934863720793,-0.145925957236383
"rhamn.1",-0.08701773469035,1.46881431382988
"rhamn.2",-0.557508884488987,-0.734567220597996
"swarming",-0.466723181003991,0.29297293979012
